gene,stratum,perc_id_hp,block,layer,n_layers,representation,condition,gen_bp,n_samples,v_norm,q_loo,alpha_own,aa_id_to_target,nt_id_to_target,indel_bp,indel_events,n_stop_codons,premature_stop,temperature,top_k,n_voting_species,pct_diagnostic_correct,n_diagnostic_scorable,pct_private_bp_correct,n_private_bp_scorable
ENSG00000132196,0,59.2375,2781,none,0,cds_mean,unsteered,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",43.75,56.278,28.4,14.4,3.4,0.4,,,19.0,26.451612903225804,310.0,18.909090909090907,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,add_a1.0,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",40.492,58.544,29.6,13.6,0.6,0.6,,,19.0,43.16129032258065,310.0,24.363636363636363,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,add_own,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",28.586,52.812,40.0,17.8,0.8,0.6,,,19.0,50.774193548387096,310.0,44.36363636363636,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,random_a1.0,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",59.588,62.066,14.0,8.0,0.0,0.0,,,19.0,16.70967741935484,310.0,3.999999999999999,55.0
ENSG00000144115,1,70.6612,3606,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6292}","{""27"": 6.2864}","{""27"": 1.1168}",10.2,41.316,64.8,32.2,9.8,0.8,,,18.0,39.91489361702128,235.0,40.66666666666667,90.0
ENSG00000144115,1,70.6612,3606,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6292}","{""27"": 6.2864}","{""27"": 1.1168}",10.78,43.478,72.8,38.4,8.6,0.8,,,18.0,42.55319148936171,235.0,44.0,90.0
ENSG00000144115,1,70.6612,3606,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6292}","{""27"": 6.2864}","{""27"": 1.1168}",12.272,41.486,61.2,29.8,8.8,0.8,,,18.0,44.42553191489362,235.0,41.77777777777778,90.0
ENSG00000144115,1,70.6612,3606,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6292}","{""27"": 6.2864}","{""27"": 1.1168}",11.142,39.086,55.2,28.2,5.6,1.0,,,18.0,39.82978723404256,235.0,40.22222222222222,90.0
ENSG00000114446,2,78.5548,1866,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.628}","{""27"": 6.7571}","{""27"": 1.2006}",12.386,40.232,58.8,27.6,3.2,0.8,,,22.0,43.11557788944724,199.0,40.84507042253521,71.0
ENSG00000114446,2,78.5548,1866,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.628}","{""27"": 6.7571}","{""27"": 1.2006}",9.674,37.83,55.2,23.8,2.8,0.6,,,22.0,47.1356783919598,199.0,47.04225352112676,71.0
ENSG00000114446,2,78.5548,1866,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.628}","{""27"": 6.7571}","{""27"": 1.2006}",9.958,38.63,48.8,25.6,1.2,0.4,,,22.0,46.63316582914573,199.0,45.63380281690141,71.0
ENSG00000114446,2,78.5548,1866,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.628}","{""27"": 6.7571}","{""27"": 1.2006}",10.188,38.720000000000006,55.6,26.8,0.6,0.4,,,22.0,45.22613065326633,199.0,45.91549295774648,71.0
ENSG00000078403,3,85.8614,636,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6324}","{""27"": 4.9888}","{""27"": 0.8857}",13.494,39.9,54.8,27.4,7.2,1.0,,,18.0,39.78723404255319,94.0,44.0,35.0
ENSG00000078403,3,85.8614,636,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6324}","{""27"": 4.9888}","{""27"": 0.8857}",11.776,38.614,61.2,28.0,0.8,0.4,,,18.0,44.255319148936174,94.0,44.57142857142857,35.0
ENSG00000078403,3,85.8614,636,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6324}","{""27"": 4.9888}","{""27"": 0.8857}",15.866,41.678,66.8,31.2,2.2,0.6,,,18.0,43.82978723404256,94.0,45.142857142857146,35.0
ENSG00000078403,3,85.8614,636,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6324}","{""27"": 4.9888}","{""27"": 0.8857}",12.472,42.946000000000005,74.0,35.8,8.8,0.8,,,18.0,44.8936170212766,94.0,45.71428571428572,35.0
ENSG00000115760,4,92.7115,1951,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.6345}","{""27"": 4.1662}","{""27"": 0.7394}",13.756,41.932,60.4,31.0,12.8,1.0,,,18.0,41.1864406779661,118.0,38.86792452830189,53.0
ENSG00000115760,4,92.7115,1951,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.6345}","{""27"": 4.1662}","{""27"": 0.7394}",14.178,41.938,52.4,29.6,1.2,0.8,,,18.0,48.64406779661017,118.0,46.41509433962264,53.0
ENSG00000115760,4,92.7115,1951,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.6345}","{""27"": 4.1662}","{""27"": 0.7394}",11.978,41.986,51.6,29.0,2.0,0.6,,,18.0,48.8135593220339,118.0,46.79245283018868,53.0
ENSG00000115760,4,92.7115,1951,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.6345}","{""27"": 4.1662}","{""27"": 0.7394}",12.466,41.338,49.6,28.0,0.8,0.6,,,18.0,49.66101694915254,118.0,46.79245283018868,53.0
ENSG00000164935,0,58.2979,4775,none,0,cds_mean,unsteered,1000,5,"{""27"": 5.633}","{""27"": 4.7675}","{""27"": 0.8464}",8.822,42.18,72.8,36.6,10.6,0.8,,,20.0,44.01273885350319,314.0,43.53982300884955,113.0
ENSG00000164935,0,58.2979,4775,blocks.27,1,cds_mean,add_a1.0,1000,5,"{""27"": 5.633}","{""27"": 4.7675}","{""27"": 0.8464}",12.582,39.86,58.0,28.8,8.0,0.6,,,20.0,41.65605095541402,314.0,37.876106194690266,113.0
ENSG00000164935,0,58.2979,4775,blocks.27,1,cds_mean,add_own,1000,5,"{""27"": 5.633}","{""27"": 4.7675}","{""27"": 0.8464}",11.778,42.102,72.8,35.6,2.0,0.6,,,20.0,43.31210191082803,314.0,40.88495575221239,113.0
ENSG00000164935,0,58.2979,4775,blocks.27,1,cds_mean,random_a1.0,1000,5,"{""27"": 5.633}","{""27"": 4.7675}","{""27"": 0.8464}",12.918,42.436,70.8,33.6,4.0,0.8,,,20.0,42.48407643312102,314.0,41.769911504424776,113.0
ENSG00000188811,1,70.0288,6243,none,0,cds_mean,unsteered,996,5,"{""27"": 5.6313}","{""27"": 5.4498}","{""27"": 0.9678}",12.547999999999998,40.718,64.0,32.4,3.2,0.6,,,13.0,43.0327868852459,244.0,42.689075630252105,119.0
