gene,condition,site_set,n_samples,n_sites,n_voting_species,A_cov,A_all,L,C,K,excess,A_null,A_M,C_M,frac_M_eq_P,gc_up_A,gc_down_A,gc_neutral_A,gc_up_n,gc_down_n,gc_neutral_n
ENSG00000003393,add_a0.5,platy_not_human,5,360.0,21,48.46173315157465,47.16666666666667,83.44854282498375,58.025432377606286,97.33333333333331,14.482254722080532,33.979478429494115,19.84642186184796,23.89067871029948,8.45590028880213,48.45623922585194,47.1937321937322,48.97812913347073,265.4,27.0,58.0
ENSG00000003393,add_a0.5,private,5,85.0,21,45.349758823654405,43.76470588235294,82.1465757208729,55.26322255891622,96.47058823529412,11.06069140383004,34.28906741982436,18.33037026153394,22.690994451557835,0.0,45.73783359497645,42.85714285714285,45.2,50.2,7.0,24.8
ENSG00000003393,add_a0.5,shared_not_private,5,275.0,21,49.41804945100744,48.21818181818182,83.83394791449189,58.89779775554899,97.6,15.058221018894889,34.35982843211256,20.32511164512596,24.305779485737503,11.095110797898538,49.0939097384311,48.664160401002505,51.76470588235294,215.2,20.0,33.2
ENSG00000003393,add_a0.5_L24,platy_not_human,5,360.0,21,44.89032245173122,43.55555555555556,80.47792970318736,55.3391241200156,97.11111111111111,11.500972172735732,33.389350278995494,21.96924735799341,28.053051858246583,8.652168365257372,44.94318178208513,39.72527472527473,47.00355858830435,265.6,27.6,56.4
ENSG00000003393,add_a0.5_L24,private,5,85.0,21,43.69298072403176,42.35294117647059,78.8665100458616,55.62002980051464,96.94117647058825,11.29434151451701,32.39863920951475,19.902696603940605,25.724469903059717,0.0,40.27746947835738,50.0,49.13188405797101,51.6,6.8,24.0
ENSG00000003393,add_a0.5_L24,shared_not_private,5,275.0,21,45.26633788691761,43.92727272727272,80.98904118401882,55.24012013094583,97.16363636363636,11.087183982785142,34.17915390413247,22.60933572712224,28.84956939323637,11.377414765014446,46.07265710446535,36.42857142857143,45.53217181300673,214.0,20.8,32.4
ENSG00000003393,add_a1.0,platy_not_human,5,360.0,21,49.54054579368723,48.33333333333333,82.77583728748252,59.56027502993243,97.5,14.624720979885565,34.91582481380167,19.70177546391603,24.040316215746635,8.495201957605325,50.14928348483964,40.281969881969886,50.97156684815487,268.0,26.4,56.6
ENSG00000003393,add_a1.0,private,5,85.0,21,48.32884771762233,47.05882352941177,83.33274768968764,57.57082106163551,97.41176470588236,12.587742180012455,35.74110553760987,17.36796599224359,21.090693765209306,0.0,47.14263354107972,48.57142857142857,50.73636363636364,52.0,7.0,23.8
ENSG00000003393,add_a1.0,shared_not_private,5,275.0,21,49.92009763474734,48.72727272727273,82.59685542054238,60.206866806129085,97.52727272727272,14.450435848273631,35.46966178647371,20.443630253717213,25.00491600281966,11.17323901820031,50.86067931380124,37.56725146198831,51.28453654188949,216.0,19.4,32.8
ENSG00000003393,add_a1.0_L24,platy_not_human,5,360.0,21,36.134234006980925,35.05555555555556,77.43610359516995,46.146251649355264,97.0,9.540866664193814,26.59336734278711,23.483815588810756,30.63933172321629,8.65080931726953,35.193182077137976,52.68253968253968,32.48033877797943,264.6,27.2,57.4
ENSG00000003393,add_a1.0_L24,private,5,85.0,21,38.74938409098579,37.88235294117647,77.41461644898922,49.61200276912211,97.88235294117648,9.715788453054722,29.033595637931068,21.43215476469456,27.86724238875878,0.0,35.25325079233435,65.71428571428571,38.43333333333333,51.8,7.0,24.4
ENSG00000003393,add_a1.0_L24,shared_not_private,5,275.0,21,35.31044377017831,34.18181818181818,77.44111219144443,45.11596370518848,96.72727272727272,8.83135823068039,26.479085539497923,24.138104401796085,31.585884931473167,11.4119963137775,35.17798093995401,48.15873015873016,28.055926916221036,212.8,20.2,33.0
ENSG00000003393,add_a2.0,platy_not_human,5,360.0,21,51.855986604120105,50.77777777777778,88.21546509236893,58.7433073761261,98.0,10.23946035135046,41.616526252769646,13.529704055535255,15.338204853353329,8.571063207891852,54.5540898817913,21.722629222629223,53.078576042678286,268.8,26.6,57.4
ENSG00000003393,add_a2.0,private,5,85.0,21,52.39086254760717,50.82352941176471,84.76816478487869,61.72262742022637,97.17647058823528,10.142560683695494,42.24830186391168,15.650243987461334,18.576419143108,0.0,53.3547758726132,28.57142857142857,57.20579710144928,51.8,7.0,23.8
ENSG00000003393,add_a2.0,shared_not_private,5,275.0,21,51.70623177786433,50.763636363636365,89.27068608014035,57.89082323993199,98.25454545454544,9.738003649318475,41.96822812854585,12.860834505023783,14.413103791235134,11.245910775799915,54.85903543106904,19.50685537372844,50.05347593582887,217.0,19.6,33.6
ENSG00000003393,add_a2.0_L24,platy_not_human,5,360.0,21,29.873320961730293,29.111111111111107,74.57316659602927,39.91237542567211,97.61111111111111,7.902864077387427,21.970456884342862,26.61870470979407,35.624184462174384,8.777921135169825,28.429884764262034,51.03174603174603,26.313878114871688,266.4,27.8,57.2
ENSG00000003393,add_a2.0_L24,private,5,85.0,21,31.15180825325853,30.11764705882353,78.70623276356396,39.24807871866695,96.94117647058825,8.33180928495379,22.81999896830474,22.30126467931346,28.88161661500813,0.0,30.67489114658926,46.66666666666667,27.560606060606062,52.2,6.8,23.4
ENSG00000003393,add_a2.0_L24,shared_not_private,5,275.0,21,29.4799590819526,28.8,73.31390395758834,40.06077995648014,97.81818181818184,7.329794976405625,22.15016410554697,27.95732714327657,37.967967837308805,11.521671315325897,27.88157418294882,52.38095238095239,25.436720142602496,214.2,21.0,33.8
