gene,aln_len_raw,aln_len_trimmed,status,n_taxa_tree,tree_len,diameter,focal_target_dist,mean_target_dist,treeness,human_branch,platypus_branch,background_rate,mean_terminal,reason
ENSG00000003393,1922,1649,ok,24.0,1.1584262741,0.4745680891999999,0.3721309230999999,0.3838557590826086,0.1976273145029143,0.0019450507,0.2520747744,0.904406449,0.0387287333541666,
ENSG00000004534,1266,1108,ok,24.0,1.3071894581,0.4793528268,0.3747347993,0.3918244100869565,0.2972226666092634,0.0019859184,0.157367565,1.1478359747000002,0.0382776300666666,
ENSG00000005175,884,660,ok,23.0,2.0029100082,0.8399658342,0.5705166548,0.6009065437681819,0.2646360658391961,0.0047476159,0.3266095758,1.6715528165000002,0.0640377297130434,
ENSG00000007908,692,610,ok,23.0,4.1902886084,1.1820683548999995,0.8457642902999998,0.9537452657136364,0.2510841513853945,0.0045250699,0.5272867331,3.6584768054000008,0.1364423282217391,
ENSG00000008952,729,398,ok,23.0,0.6081232839,0.2439738749,0.1740251394999999,0.1840767755727272,0.2521920054046462,2.2296e-06,0.0908914986,0.5172295557000001,0.019772150147826,
ENSG00000010292,1610,1390,ok,24.0,1.9770418501,0.7559090699,0.6456837195,0.6829559369913043,0.2156735736668562,0.0024304723,0.4901762829,1.4844350949,0.0646102570416666,
ENSG00000012171,860,747,ok,23.0,1.5462550858,0.5702269547,0.4869479272999999,0.4845210437272726,0.339598761176149,0.004505114,0.1424272745,1.3993226973,0.0443977727913043,
ENSG00000012232,1057,916,ok,24.0,0.5961996393,0.3478613096999999,0.2916736094999999,0.2994691937173912,0.147029072011718,2.0664e-06,0.2609246554,0.3352729175,0.02118920665,
ENSG00000014138,885,590,ok,24.0,2.2243557899,0.7034688627000001,0.5652648311,0.6192069541826087,0.25532986070791,0.0018035448,0.3323630136,1.8901892315,0.0690171389958333,
ENSG00000020426,498,308,ok,24.0,1.1905710877,0.5835408814,0.1293654629999999,0.1675149190521739,0.063749998957748,0.0,0.0972419755,1.0933291122,0.0464446742541666,
ENSG00000020922,988,706,ok,24.0,1.3092625466,0.3229335952999999,0.2056443818,0.2328706433826086,0.217331039552705,2.3843e-06,0.0924608525,1.2167993098,0.0426966315125,
ENSG00000021776,1600,1474,ok,24.0,1.0000823633,0.4550201985,0.3231960763,0.3432841578391304,0.2195883991748022,2.324e-06,0.203982826,0.7960972132999999,0.0325198282541666,
ENSG00000022567,935,758,ok,23.0,2.1420743114,0.5121841039,0.3562350655,0.3951921782909091,0.2785748516866323,0.0079759909,0.1412764894,1.9928218311,0.0671889686,
