panel,layer,gene,family,loo_cos,delta_norm,influence
strat400,0,ENSG00000132196,block2781,0.9774854195329572,0.0331074300925935,3.4552686523081637e-06
strat400,0,ENSG00000164935,block4775,-0.078333140963135,0.0041128053452559,1.190300107811737e-06
strat400,0,ENSG00000137868,block3214,-0.8167043163096738,0.0116477427531965,3.198701405637827e-06
strat400,0,ENSG00000179988,block5804,0.923363570579261,0.0151591314505538,2.398273929227201e-06
strat400,0,ENSG00000124145,block2366,0.333964895244964,0.0079337330146825,3.9595927773250494e-06
strat400,0,ENSG00000100629,block1037,0.6798888121340014,0.0037847613822559,5.453954319278864e-07
strat400,0,ENSG00000204923,block6580,0.5204193636418488,0.0078816363927914,3.207092591273053e-06
strat400,0,ENSG00000168874,block5150,-0.3643468237774879,0.010663600495246,6.982440339808882e-06
strat400,0,ENSG00000115568,block1942,0.9579899847108876,0.0256054713390555,3.81841092156332e-06
strat400,0,ENSG00000213563,block6650,0.4306155315910271,0.0090199904722171,4.692396563865664e-06
strat400,0,ENSG00000134247,block2906,0.9574857717367582,0.0136103053154197,1.091495289928801e-06
strat400,0,ENSG00000172244,block5376,0.7212616755535345,0.0073281026815496,1.8242319255179491e-06
strat400,0,ENSG00000168038,block5083,-0.6698900334680625,0.0046063588762085,8.281618285588266e-07
strat400,0,ENSG00000072201,block3337,0.9699668889257094,0.0299541275008889,3.758602451608972e-06
strat400,0,ENSG00000138075,block3233,0.9608317496030664,0.0188458010296257,1.9313327500602995e-06
strat400,0,ENSG00000181544,block5869,0.818039209004942,0.0096844580583199,2.196772904028421e-06
strat400,0,ENSG00000007908,block77,0.8089008182746489,0.0068789457518397,1.1581653908132594e-06
strat400,0,ENSG00000105321,block1340,0.6757040898993122,0.0083478954943346,2.681305938945222e-06
strat400,0,ENSG00000173627,block5470,0.8986826041790903,0.0122634369578418,2.0483974190188547e-06
strat400,0,ENSG00000171357,block4067,0.8667152162611473,0.0169410398189116,5.055834430001127e-06
strat400,0,ENSG00000163462,block4023,0.8874159655922331,0.014360722141381,3.102777573316118e-06
strat400,0,ENSG00000135409,block2998,0.933219622719819,0.0203615527555458,3.789707168078138e-06
strat400,0,ENSG00000117362,block3281,0.8712792564438956,0.0212315203116009,7.687833679437261e-06
strat400,0,ENSG00000161618,block4431,0.4611955202570986,0.0055323426028405,1.7061256564199212e-06
strat400,0,ENSG00000168016,block5081,0.9787539077851052,0.0240769777118375,1.7255523653281202e-06
strat400,0,ENSG00000170955,block5304,0.770404566544489,0.0176557752036454,8.97148377509982e-06
strat400,0,ENSG00000133048,block2845,0.2846107479449981,0.0043983556290739,1.2587743882797042e-06
strat400,0,ENSG00000178057,block5712,-0.325887251833546,0.008414936502868,4.481204611495038e-06
strat400,0,ENSG00000186871,block6155,0.9610436765771824,0.0185394436360206,1.8591396204747923e-06
strat400,0,ENSG00000198894,block6503,0.8394662744944009,0.0082628795861702,1.427493868333407e-06
strat400,0,ENSG00000135541,block3011,0.7031159000124712,0.0041539161946472,6.177314558764024e-07
strat400,0,ENSG00000169679,block5214,0.8811920176313006,0.0087074307765019,1.1998088167430865e-06
strat400,0,ENSG00000105852,block1387,0.938164338444131,0.0276943402910937,6.508277336725321e-06
strat400,0,ENSG00000113621,block1827,0.8067881938251175,0.0092732552061462,2.125488548943011e-06
strat400,0,ENSG00000132780,block2832,0.8843880865867461,0.0107898601751291,1.7957998948991971e-06
strat400,0,ENSG00000107771,block1490,0.7419444674773461,0.0062646476363627,1.2490908529727562e-06
strat400,0,ENSG00000120915,block2238,0.8534770290818794,0.0104641312087555,2.105487724834987e-06
strat400,0,ENSG00000056972,block343,0.9248818590291747,0.0126936717730135,1.6495928951698602e-06
strat400,0,ENSG00000148384,block3827,-0.8826111180144084,0.0190229730568463,5.662374379267199e-06
strat400,0,ENSG00000136933,block3135,0.4897074828549693,0.0077500682310179,3.232845372624915e-06
strat400,0,ENSG00000177548,block5685,0.4218955104798685,0.0056544478593676,1.8608347861492904e-06
strat400,0,ENSG00000187550,block6733,0.2376288790293968,0.0052680069476024,1.8539709784048952e-06
strat400,0,ENSG00000102098,block3726,0.8491996662619581,0.0093093579621003,1.711113903901662e-06
strat400,0,ENSG00000164342,block4718,0.8968749327861374,0.0316555810234887,1.3879042758069282e-05
strat400,0,ENSG00000133131,block4320,0.8813973058536956,0.0148525063481413,3.485204787323504e-06
strat400,0,ENSG00000114248,block1857,0.919635737861021,0.0112745610885367,1.3884631480109988e-06
strat400,0,ENSG00000143502,block3568,-0.0327205520987298,0.0043599959495135,1.3444981943333545e-06
strat400,0,ENSG00000173818,block5480,0.768733199541185,0.0094137095505941,2.566556005945131e-06
strat400,0,ENSG00000109943,block1609,0.3967243321490235,0.0070791182304603,2.9897747393370366e-06
