layer,baseline,axis,rho,p_mantel
0,pfam_jsd,1_homology,0.2098377511013875,
0,kmer,control,0.446062339954143,
0,gc_content,control,0.686031509213212,
1,pfam_jsd,1_homology,0.2632448368901823,
1,kmer,control,0.6437545459390231,
1,gc_content,control,0.5716760798689663,
2,pfam_jsd,1_homology,0.2689240611528642,
2,kmer,control,0.1660960726046609,
2,gc_content,control,0.2521098248869632,
3,pfam_jsd,1_homology,0.5221176991404366,
3,kmer,control,0.4573147811559015,
3,gc_content,control,0.3301201911287217,
4,pfam_jsd,1_homology,0.4806770537489651,
4,kmer,control,0.5094992975235061,
4,gc_content,control,0.2952980787382014,
5,pfam_jsd,1_homology,0.4818328331998543,
5,kmer,control,0.5350113033843134,
5,gc_content,control,0.3110097436371736,
6,pfam_jsd,1_homology,0.4839399792753051,
6,kmer,control,0.5010732667624284,
6,gc_content,control,0.3485312974728053,
7,pfam_jsd,1_homology,0.4740785068799193,
7,kmer,control,0.5879819138493377,
7,gc_content,control,0.2862158073941372,
8,pfam_jsd,1_homology,0.5207607258970113,
8,kmer,control,0.5311565661490157,
8,gc_content,control,0.2848845225095395,
9,pfam_jsd,1_homology,0.3826714545997379,
9,kmer,control,0.1607962081402594,
9,gc_content,control,0.2018577856617206,
10,pfam_jsd,1_homology,0.558771474061318,
10,kmer,control,0.4617424423640942,
10,gc_content,control,0.1825458064521954,
11,pfam_jsd,1_homology,0.5632915326167846,
11,kmer,control,0.4840490120054679,
11,gc_content,control,0.1627270716242422,
12,pfam_jsd,1_homology,0.5698305399023764,
12,kmer,control,0.4346755052560867,
12,gc_content,control,0.1691977497542264,
13,pfam_jsd,1_homology,0.5336467857206971,
13,kmer,control,0.383446943522843,
13,gc_content,control,0.2353747744996024,
14,pfam_jsd,1_homology,0.5060811542226936,
14,kmer,control,0.3557165921588476,
14,gc_content,control,0.2518014656399207,
15,pfam_jsd,1_homology,0.5096809328227858,
15,kmer,control,0.3631244128436439,
15,gc_content,control,0.2552236337376069,
16,pfam_jsd,1_homology,0.4470414281888005,
16,kmer,control,0.3017727032244289,
16,gc_content,control,0.2947285994660948,
17,pfam_jsd,1_homology,0.4578068428979279,
17,kmer,control,0.2777206903160314,
17,gc_content,control,0.2387747610652694,
18,pfam_jsd,1_homology,0.428288708543933,
18,kmer,control,0.2805958867496758,
18,gc_content,control,0.2475877939268286,
19,pfam_jsd,1_homology,0.4356991500825349,
19,kmer,control,0.2536503419007669,
19,gc_content,control,0.227203567987633,
20,pfam_jsd,1_homology,0.4416663524526609,
20,kmer,control,0.2783550503602714,
20,gc_content,control,0.231686168829033,
21,pfam_jsd,1_homology,0.4313535464363177,
21,kmer,control,0.300319248514778,
21,gc_content,control,0.2451062799721367,
22,pfam_jsd,1_homology,0.4247536450647415,
22,kmer,control,0.2747360828277301,
22,gc_content,control,0.2560182894214526,
23,pfam_jsd,1_homology,0.4428309528922518,
23,kmer,control,0.3426660422282526,
23,gc_content,control,0.2656441629770884,
24,pfam_jsd,1_homology,0.4198230510062029,
24,kmer,control,0.3668584266937825,
24,gc_content,control,0.3481016462977551,
25,pfam_jsd,1_homology,0.4189485064140489,
25,kmer,control,0.4260997554245719,
25,gc_content,control,0.3589918839003397,
26,pfam_jsd,1_homology,0.4087730151820143,
26,kmer,control,0.4477009807748742,
26,gc_content,control,0.4139925267718049,
27,pfam_jsd,1_homology,0.3588531588663812,
27,kmer,control,0.4699568832153292,
27,gc_content,control,0.4489528452400782,
28,pfam_jsd,1_homology,0.1650199421090457,
28,kmer,control,0.3097521268560896,
28,gc_content,control,0.417630440158683,
29,pfam_jsd,1_homology,0.1139094613468705,
29,kmer,control,0.3416561011060483,
29,gc_content,control,0.5951862547208079,
30,pfam_jsd,1_homology,0.1925643447062782,
30,kmer,control,0.4436740252219989,
30,gc_content,control,0.6035649041241948,
31,pfam_jsd,1_homology,0.1925643447062782,
31,kmer,control,0.4436740252219989,
31,gc_content,control,0.6035649041241948,
