panel,layer,condition,n_families,rho_preservation,rho_recovery
mammal_cdsmask,0,dinuc_shuffle,48,0.4833970578502662,0.23949268498682552
mammal_cdsmask,0,gc_match,48,0.31733820834198834,0.15514968583468128
mammal_cdsmask,0,kmer4_shuffle,48,0.5217764876833045,0.27254462325414913
mammal_cdsmask,0,kmer6_shuffle,48,0.5202521886173542,0.275180749912013
mammal_cdsmask,0,missense_subset,48,0.7490874329735462,0.34326697442768844
mammal_cdsmask,0,natural,48,1.0,0.4411678258564917
mammal_cdsmask,0,paired_p3_missense,48,0.830936866548968,0.40703039462688323
mammal_cdsmask,0,paired_p3_syn,48,0.8144521538174789,0.448325746002892
mammal_cdsmask,0,synonymous_recode,48,0.355408551557435,0.1660809762178566
mammal_cdsmask,1,dinuc_shuffle,48,0.6438562117886969,0.3541219087888729
mammal_cdsmask,1,gc_match,48,0.5139265412079456,0.2683813543820392
mammal_cdsmask,1,kmer4_shuffle,48,0.7047788891582295,0.39395133425591666
mammal_cdsmask,1,kmer6_shuffle,48,0.7204853118779208,0.4100825367920404
mammal_cdsmask,1,missense_subset,48,0.8574771415133119,0.44315096760122447
mammal_cdsmask,1,natural,48,1.0,0.4917903232234185
mammal_cdsmask,1,paired_p3_missense,48,0.9020369685758731,0.48361325689188567
mammal_cdsmask,1,paired_p3_syn,48,0.9053685114274216,0.5130193396989601
mammal_cdsmask,1,synonymous_recode,48,0.6273246731920809,0.3543436492078576
mammal_cdsmask,10,dinuc_shuffle,48,0.49462073914863586,0.307235727499483
mammal_cdsmask,10,gc_match,48,0.47804519561732245,0.28722366876202615
mammal_cdsmask,10,kmer4_shuffle,48,0.4881396042139819,0.28252118713360924
mammal_cdsmask,10,kmer6_shuffle,48,0.48132042524331436,0.2522537277861369
mammal_cdsmask,10,missense_subset,48,0.6377483801851108,0.2109088087001867
mammal_cdsmask,10,natural,48,1.0,0.3282707186576219
mammal_cdsmask,10,paired_p3_missense,48,0.6920926698394574,0.276262929365571
mammal_cdsmask,10,paired_p3_syn,48,0.7432719085245347,0.27877225733346633
mammal_cdsmask,10,synonymous_recode,48,0.6395553102621507,0.21060361596776497
mammal_cdsmask,11,dinuc_shuffle,48,0.47892628528227227,0.29185559674462497
mammal_cdsmask,11,gc_match,48,0.4663963567056144,0.2736369427670824
mammal_cdsmask,11,kmer4_shuffle,48,0.4680474877704821,0.2626165840391775
mammal_cdsmask,11,kmer6_shuffle,48,0.46564234574634306,0.24178007046261082
mammal_cdsmask,11,missense_subset,48,0.6296581466405194,0.20449615610767155
mammal_cdsmask,11,natural,48,1.0,0.32467952856381976
mammal_cdsmask,11,paired_p3_missense,48,0.6887904440918687,0.2749003521235623
mammal_cdsmask,11,paired_p3_syn,48,0.7475322060296072,0.27775477013653854
mammal_cdsmask,11,synonymous_recode,48,0.6458029163352998,0.21077534086049066
mammal_cdsmask,12,dinuc_shuffle,48,0.46693184621471245,0.2768179709333247
mammal_cdsmask,12,gc_match,48,0.4558902293994787,0.2644163615288975
mammal_cdsmask,12,kmer4_shuffle,48,0.4565607165745044,0.24541628450518327
mammal_cdsmask,12,kmer6_shuffle,48,0.4585463876503721,0.2329224676066303
mammal_cdsmask,12,missense_subset,48,0.6180285419753918,0.19315216804404575
mammal_cdsmask,12,natural,48,1.0,0.3188075909230004
mammal_cdsmask,12,paired_p3_missense,48,0.6719176231520986,0.2602267579608694
mammal_cdsmask,12,paired_p3_syn,48,0.7266985081064062,0.2637697112449602
mammal_cdsmask,12,synonymous_recode,48,0.6237085899939641,0.1950632741545076
mammal_cdsmask,13,dinuc_shuffle,48,0.4349346960348197,0.24828481899657165
mammal_cdsmask,13,gc_match,48,0.4316218165461681,0.24701407394129324
mammal_cdsmask,13,kmer4_shuffle,48,0.4215673933556133,0.2221885902143855
mammal_cdsmask,13,kmer6_shuffle,48,0.43417923034680755,0.21556333907031985
mammal_cdsmask,13,missense_subset,48,0.595261954203148,0.1800642004695423
mammal_cdsmask,13,natural,48,1.0,0.3073396017351712
mammal_cdsmask,13,paired_p3_missense,48,0.6594321050892273,0.25738398754589625
mammal_cdsmask,13,paired_p3_syn,48,0.7221977479494083,0.25738945170200106
mammal_cdsmask,13,synonymous_recode,48,0.6231900567961666,0.19200440039125455
mammal_cdsmask,14,dinuc_shuffle,48,0.4339237121649473,0.24234554570052624
mammal_cdsmask,14,gc_match,48,0.43133589508693365,0.24156090921662543
mammal_cdsmask,14,kmer4_shuffle,48,0.4206616282650956,0.2174231428929159
mammal_cdsmask,14,kmer6_shuffle,48,0.43404600265821847,0.21116259063801843
mammal_cdsmask,14,missense_subset,48,0.6003801159759465,0.18469337737783573
mammal_cdsmask,14,natural,48,1.0,0.3092609028217566
mammal_cdsmask,14,paired_p3_missense,48,0.6655552726065385,0.260581876596768
mammal_cdsmask,14,paired_p3_syn,48,0.7336145880831099,0.2624749164586855
mammal_cdsmask,14,synonymous_recode,48,0.638168397076137,0.1969905185748738
mammal_cdsmask,15,dinuc_shuffle,48,0.4250093428610417,0.23294707769182743
mammal_cdsmask,15,gc_match,48,0.4237233905214403,0.23283170330652314
mammal_cdsmask,15,kmer4_shuffle,48,0.4116582259163648,0.20611501538921592
mammal_cdsmask,15,kmer6_shuffle,48,0.4274900317408545,0.20022182405293876
mammal_cdsmask,15,missense_subset,48,0.59481227590267,0.17641366211777845
mammal_cdsmask,15,natural,48,1.0,0.304923987612304
mammal_cdsmask,15,paired_p3_missense,48,0.6564713484944678,0.25175036443163734
mammal_cdsmask,15,paired_p3_syn,48,0.725059061745838,0.2542139366506309
mammal_cdsmask,15,synonymous_recode,48,0.6281774313722152,0.18916643418063658
mammal_cdsmask,16,dinuc_shuffle,48,0.42776738658919067,0.21171625514487
mammal_cdsmask,16,gc_match,48,0.4300329709835005,0.2187098138838067
mammal_cdsmask,16,kmer4_shuffle,48,0.41653521651042275,0.19499101285075637
mammal_cdsmask,16,kmer6_shuffle,48,0.43590743213742716,0.19218262568165537
mammal_cdsmask,16,missense_subset,48,0.6054614717633529,0.1885050607187239
mammal_cdsmask,16,natural,48,1.0,0.311630099234074
mammal_cdsmask,16,paired_p3_missense,48,0.6620935065665967,0.253098047699035
mammal_cdsmask,16,paired_p3_syn,48,0.7352601066668644,0.260359007803655
mammal_cdsmask,16,synonymous_recode,48,0.6400087512347477,0.1933522158258961
mammal_cdsmask,17,dinuc_shuffle,48,0.44207722075370776,0.21883400290361424
