panel,layer,gene,family,loo_cos,delta_norm,influence
paired103,0,HOXA1,hox,-0.3968542156446944,0.0040779843140526,3.979544796139933e-05
paired103,0,HOXA10,hox,-0.5275883392063683,0.0093341770808527,0.0001785986096698
paired103,0,HOXA13,hox,0.6428217859366346,0.0090295962004213,0.0001358944932291
paired103,0,HOXA3,hox,-0.6638308482599445,0.0077327337915758,9.499791047273833e-05
paired103,0,HOXA4,hox,-0.3181292194367913,0.0132791891927191,0.0004502577977089
paired103,0,HOXA5,hox,-0.8799944860190798,0.0149777616387789,0.000143761666926
paired103,0,HOXA6,hox,-0.8564865495073845,0.0181524834370401,0.0002493853532686
paired103,0,HOXA7,hox,-0.686717731172679,0.012407218111128,0.0002310667802267
paired103,0,HOXB2,hox,0.7247792579206033,0.0070326322580311,6.668455455205446e-05
paired103,0,HOXB4,hox,-0.7864526668206381,0.0120500211493883,0.0001573460075524
paired103,0,HOXB5,hox,-0.7142773431047676,0.0092463351002004,0.0001189463520628
paired103,0,HOXB7,hox,0.5201411459525835,0.0057689766248966,6.895570991005684e-05
paired103,0,HOXB8,hox,-0.5055362631335567,0.0071415348132373,0.0001078431279185
paired103,0,HOXB9,hox,-0.5106577779900159,0.0070167043319231,0.0001033779362092
paired103,0,HOXC11,hox,0.434279712884176,0.00657361023447,9.95922193524068e-05
paired103,0,HOXC12,hox,-0.0078721283139746,0.0049768248034044,7.034825712848303e-05
paired103,0,HOXC4,hox,0.4238988205987076,0.006026629899324,8.462634612693698e-05
paired103,0,HOXC5,hox,-0.1169269230911712,0.0058220026672408,9.496139805131865e-05
paired103,0,HOXC6,hox,0.4918331340360083,0.0049906499303182,5.363060896657057e-05
paired103,0,HOXC8,hox,0.4090123432443573,0.00454885010809,4.894038291103353e-05
paired103,0,HOXC9,hox,0.2642531792178399,0.0052678363913752,7.331674920996178e-05
paired103,0,HOXD10,hox,-0.8212749333480731,0.0074764346008786,5.167988666676671e-05
paired103,0,HOXD11,hox,0.0782129758502903,0.0090207694522199,0.0002297378095955
paired103,0,HOXD12,hox,0.7952635917485722,0.0102384202033785,0.0001094392839892
paired103,0,HOXD13,hox,0.2197764820249454,0.0068876973549833,0.0001282435489633
paired103,0,HOXD4,hox,-0.7566257550622228,0.0095913569078846,0.0001117116587413
paired103,0,RAB10,rab_gtpase,0.0639684708282049,0.0054516881476652,8.40736258456154e-05
paired103,0,RAB11A,rab_gtpase,0.943546335278574,0.0226228982139354,0.0001595065178595
paired103,0,RAB14,rab_gtpase,0.4226703756896481,0.0041979316107954,4.1111947649996594e-05
paired103,0,RAB15,rab_gtpase,0.3608287078510668,0.0061713356080294,9.409352966316398e-05
paired103,0,RAB18,rab_gtpase,0.5368355976652678,0.0051606468745119,5.384468461366865e-05
paired103,0,RAB1A,rab_gtpase,0.4146227546767409,0.0039043885846126,3.585507254733056e-05
paired103,0,RAB1B,rab_gtpase,0.8478217053367364,0.0073394007028326,4.3023287513044295e-05
paired103,0,RAB20,rab_gtpase,0.8603716257482507,0.0127473430909316,0.0001198944413766
paired103,0,RAB22A,rab_gtpase,-0.6850183005268545,0.0078224512189536,9.224779151417728e-05
paired103,0,RAB23,rab_gtpase,0.5569539127371048,0.0059777464850041,7.001242594195656e-05
paired103,0,RAB24,rab_gtpase,0.8947224176915699,0.0102654192093953,5.970464423732391e-05
paired103,0,RAB25,rab_gtpase,0.8326744625435751,0.016001293792292,0.0002230316325689
paired103,0,RAB27A,rab_gtpase,0.8957743701716887,0.0157766309159155,0.0001396948247562
paired103,0,RAB27B,rab_gtpase,0.6306973772295088,0.0061001547204142,6.365192790314111e-05
