gene,stratum,perc_id_hp,block,layer,n_layers,representation,condition,sample,gen_bp,n_samples,v_norm,q_loo,alpha_own,aa_id_to_target,nt_id_to_target,indel_bp,indel_events,n_stop_codons,premature_stop,temperature,top_k,n_voting_species,pct_diagnostic_correct,n_diagnostic_scorable,pct_autapomorphy_correct,n_autapomorphy_scorable
ENSG00000132196,0,59.2375,2781,none,0,cds_mean,unsteered,0,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",21.91,47.77,54,23,4,True,,,19.0,42.25806451612903,310.0,43.63636363636363,55.0
ENSG00000132196,0,59.2375,2781,none,0,cds_mean,unsteered,1,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",59.86,63.43,18,11,0,False,,,19.0,19.677419354838708,310.0,5.454545454545454,55.0
ENSG00000132196,0,59.2375,2781,none,0,cds_mean,unsteered,2,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",58.16,62.89,10,5,0,False,,,19.0,19.677419354838708,310.0,9.090909090909092,55.0
ENSG00000132196,0,59.2375,2781,none,0,cds_mean,unsteered,3,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",59.18,62.79,16,9,0,False,,,19.0,19.032258064516128,310.0,7.2727272727272725,55.0
ENSG00000132196,0,59.2375,2781,none,0,cds_mean,unsteered,4,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",19.64,44.51,44,24,13,True,,,19.0,31.612903225806452,310.0,29.09090909090909,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,add_a1.0,0,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",58.84,66.99,16,7,0,False,,,19.0,42.58064516129032,310.0,14.545454545454545,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,add_a1.0,1,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",15.27,47.82,48,22,1,True,,,19.0,46.45161290322581,310.0,40.0,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,add_a1.0,2,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",18.12,48.53,48,21,1,True,,,19.0,43.87096774193548,310.0,36.36363636363637,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,add_a1.0,3,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",53.43,62.51,20,10,1,True,,,19.0,40.0,310.0,10.909090909090908,55.0
ENSG00000132196,0,59.2375,2781,blocks.27,1,cds_mean,add_a1.0,4,825,5,"{""27"": 5.6227}","{""27"": 8.8659}","{""27"": 1.5768}",56.8,66.87,16,8,0,False,,,19.0,42.903225806451616,310.0,20.0,55.0
