condition,family,pos_identity,edit_identity,aa_identity,n_seqs
dinuc_shuffle,adam_metallopeptidase,0.2616702001556845,0.4881735173445061,0.0573174791793507,238
dinuc_shuffle,adamts_metallopeptidase,0.2636343821590985,0.4922098529014281,0.0612283297956905,272
dinuc_shuffle,adrenoceptor,0.2796621808803237,0.5043506747947932,0.0693800263179255,133
dinuc_shuffle,alcohol_dehydrogenase,0.2555917071863318,0.4779539181340978,0.0576902264764276,26
dinuc_shuffle,aldehyde_dehydrogenase,0.2574284119639627,0.4830461153457597,0.0578051740371251,289
dinuc_shuffle,aldo_keto_reductase,0.2587115723346742,0.4804089933851021,0.0553707260434382,107
dinuc_shuffle,alkaline_phosphatase,0.2606579682721981,0.4944958419384844,0.0571520129547128,30
dinuc_shuffle,arachidonate_lipoxygenase,0.2612207131032515,0.4880901003034529,0.0592142928185637,103
dinuc_shuffle,arf_gtpase,0.2625098760103511,0.4845357022853784,0.0589030401733711,419
dinuc_shuffle,carbonic_anhydrase,0.2579215633981174,0.4796154663715117,0.0593454140294468,107
dinuc_shuffle,cxc_chemokine_receptor,0.26142859161254,0.4920647322838806,0.0662925625311914,61
dinuc_shuffle,cytochrome_p450,0.2598181653752848,0.4840258481511269,0.0600904709775522,647
dinuc_shuffle,dopamine_receptor,0.2646992446330404,0.4945505526854686,0.0621341657818927,89
dinuc_shuffle,ectonucleotide_pyrophosphatase,0.2577125318959779,0.4821828334176989,0.0554667573882043,120
dinuc_shuffle,ferritin,0.2634028867763837,0.4820385061173945,0.0565513998823634,39
dinuc_shuffle,flavin_monooxygenase,0.2546882937077737,0.4760345990999871,0.0547678769536271,90
dinuc_shuffle,globins,0.2704002726078815,0.4952512036631331,0.0638720816900398,98
dinuc_shuffle,glutamate_metabotropic,0.2588523062652031,0.4881755581915368,0.0576886831522281,117
dinuc_shuffle,glutaredoxin,0.2695328828647119,0.4765336950956993,0.0653783220357776,67
dinuc_shuffle,glutathione_peroxidase,0.2599273354407989,0.4768183860965835,0.0590753219062259,105
dinuc_shuffle,glutathione_s_transferase,0.2569223657455388,0.4772532156063885,0.0567858868629199,148
dinuc_shuffle,guanylate_binding_protein,0.2567832807804139,0.4868715550036404,0.0569094468310146,50
dinuc_shuffle,heme_oxygenase,0.268803093562278,0.4854347893199476,0.0623790720760174,20
dinuc_shuffle,histamine_receptor,0.2624303752618769,0.4912416172613048,0.062985039647497,70
dinuc_shuffle,histone_deacetylase_classI,0.256811784445639,0.4850312418086946,0.0511431632777791,66
dinuc_shuffle,histone_h4,0.2787955450723095,0.4887668137073371,0.0739254467446378,65
dinuc_shuffle,hox,0.2732510044201574,0.4852998495590689,0.0693871142153342,720
dinuc_shuffle,m14_carboxypeptidase,0.2560089337071724,0.4819789505377645,0.0559602522742971,418
dinuc_shuffle,matrix_metalloproteinase,0.2604200173107243,0.4839442565602697,0.0583459718436111,363
dinuc_shuffle,metallothionein,0.2711300492972605,0.4982347257365634,0.0637320442495036,45
dinuc_shuffle,muscarinic_receptor,0.259836391231546,0.4870667508476854,0.0570430550657518,64
dinuc_shuffle,nadph_oxidase,0.2567842205157154,0.4851572690647486,0.0576509916608321,96
dinuc_shuffle,nitric_oxide_synthase,0.2842604603379862,0.5046258723288896,0.0729898601598818,54
dinuc_shuffle,olfactory_receptors,0.2620221249722591,0.4885480110118021,0.0642903252411827,2578
dinuc_shuffle,opsins,0.2654458625918474,0.4871514003971294,0.0610205242125704,94
dinuc_shuffle,p2y_receptor,0.2620991229503057,0.4879345710859941,0.0612568983351837,106
dinuc_shuffle,peroxidase,0.2640959601930519,0.4904473917092266,0.0602695243682388,79
dinuc_shuffle,peroxiredoxin,0.2586950639290663,0.4744315009160219,0.0596930321180303,76
dinuc_shuffle,phosphodiesterase,0.2562339369602294,0.4831129557115491,0.0574913457092218,320
dinuc_shuffle,rab_gtpase,0.2605732277210591,0.4818797109638698,0.0570901420508533,888
dinuc_shuffle,ras_gtpases,0.2650001015972132,0.4872332665345818,0.0598601812039973,489
dinuc_shuffle,rho_gtpase,0.2624732819270665,0.4841370163348464,0.0584223807872774,302
dinuc_shuffle,serine_protease,0.261622396213639,0.488293198120607,0.0616862261950824,422
dinuc_shuffle,serotonin_receptor,0.261589705743,0.4875987579742464,0.0621140121422316,156
dinuc_shuffle,steap_metalloreductase,0.258766229314759,0.4807743626369067,0.0598263667195533,49
dinuc_shuffle,sulfotransferase,0.2638469926068735,0.4819360095977741,0.0537402963936061,116
dinuc_shuffle,taste2_receptor,0.2621390487532377,0.4838314686343343,0.0661973243930273,208
dinuc_shuffle,udp_glucuronosyltransferase,0.2561387393943684,0.4772573626482328,0.0562269250134995,69
gc_match,adam_metallopeptidase,0.2601837003150922,0.4817603247010653,0.0579717256026131,238
gc_match,adamts_metallopeptidase,0.2624340511373654,0.4854541791414624,0.0601485827457427,272
gc_match,adrenoceptor,0.2762332745033109,0.4950979984986429,0.0662711298500906,133
gc_match,alcohol_dehydrogenase,0.2548600486671008,0.4730157388230793,0.054159162385471,26
gc_match,aldehyde_dehydrogenase,0.2570726449256542,0.4772110807741417,0.0582753563625461,289
gc_match,aldo_keto_reductase,0.2532488198509942,0.4750889928937044,0.0547521435320102,107
gc_match,alkaline_phosphatase,0.2630610896848771,0.4857650807950231,0.0623747463909356,30
