layer,gene,family,loo_cos,delta_norm,influence
0,HOXA1,hox,-0.3968542156446944,0.00407798431405262,3.979544796139933e-05
0,HOXA10,hox,-0.5275883392063683,0.00933417708085279,0.00017859860966984442
0,HOXA13,hox,0.6428217859366346,0.009029596200421321,0.00013589449322914948
0,HOXA3,hox,-0.6638308482599445,0.007732733791575805,9.499791047273831e-05
0,HOXA4,hox,-0.31812921943679134,0.013279189192719181,0.0004502577977089084
0,HOXA5,hox,-0.8799944860190798,0.014977761638778992,0.00014376166692608994
0,HOXA6,hox,-0.8564865495073845,0.018152483437040158,0.00024938535326868294
0,HOXA7,hox,-0.686717731172679,0.01240721811112804,0.00023106678022677407
0,HOXB2,hox,0.7247792579206033,0.007032632258031149,6.668455455205446e-05
0,HOXB4,hox,-0.7864526668206381,0.0120500211493883,0.0001573460075524613
0,HOXB5,hox,-0.7142773431047676,0.00924633510020049,0.0001189463520628875
0,HOXB7,hox,0.5201411459525835,0.005768976624896651,6.895570991005684e-05
0,HOXB8,hox,-0.5055362631335567,0.0071415348132373695,0.00010784312791856099
0,HOXB9,hox,-0.5106577779900159,0.007016704331923127,0.00010337793620929236
0,HOXC11,hox,0.434279712884176,0.00657361023447009,9.959221935240681e-05
0,HOXC12,hox,-0.00787212831397469,0.004976824803404471,7.034825712848303e-05
0,HOXC4,hox,0.4238988205987076,0.006026629899324094,8.462634612693698e-05
0,HOXC5,hox,-0.11692692309117121,0.005822002667240856,9.496139805131865e-05
0,HOXC6,hox,0.49183313403600837,0.004990649930318224,5.363060896657057e-05
0,HOXC8,hox,0.40901234324435737,0.00454885010809005,4.894038291103353e-05
0,HOXC9,hox,0.2642531792178399,0.0052678363913752765,7.331674920996178e-05
0,HOXD10,hox,-0.8212749333480731,0.007476434600878698,5.1679886666766706e-05
0,HOXD11,hox,0.0782129758502903,0.009020769452219966,0.0002297378095955649
0,HOXD12,hox,0.7952635917485722,0.010238420203378546,0.00010943928398920999
0,HOXD13,hox,0.2197764820249454,0.006887697354983326,0.0001282435489633471
0,HOXD4,hox,-0.7566257550622228,0.009591356907884652,0.00011171165874135358
0,RAB10,rab_gtpase,0.06396847082820499,0.005451688147665214,8.40736258456154e-05
0,RAB11A,rab_gtpase,0.943546335278574,0.022622898213935427,0.0001595065178595645
0,RAB14,rab_gtpase,0.4226703756896481,0.004197931610795439,4.1111947649996594e-05
0,RAB15,rab_gtpase,0.3608287078510668,0.006171335608029408,9.409352966316398e-05
0,RAB18,rab_gtpase,0.5368355976652678,0.005160646874511925,5.384468461366865e-05
0,RAB1A,rab_gtpase,0.4146227546767409,0.003904388584612612,3.585507254733056e-05
0,RAB1B,rab_gtpase,0.8478217053367364,0.0073394007028326665,4.3023287513044295e-05
0,RAB20,rab_gtpase,0.8603716257482507,0.01274734309093166,0.0001198944413766112
0,RAB22A,rab_gtpase,-0.6850183005268545,0.00782245121895368,9.224779151417728e-05
0,RAB23,rab_gtpase,0.5569539127371048,0.005977746485004181,7.001242594195656e-05
0,RAB24,rab_gtpase,0.8947224176915699,0.010265419209395337,5.970464423732391e-05
0,RAB25,rab_gtpase,0.8326744625435751,0.016001293792292044,0.00022303163256898184
0,RAB27A,rab_gtpase,0.8957743701716887,0.01577663091591556,0.0001396948247562868
0,RAB27B,rab_gtpase,0.6306973772295088,0.006100154720414227,6.365192790314111e-05
0,RAB29,rab_gtpase,0.19527962441279614,0.015144345301615875,0.0006267753662829723
0,RAB2B,rab_gtpase,0.9347558471933737,0.0169436308685212,0.00010293506764891269
0,RAB30,rab_gtpase,0.8211201081868426,0.022055414058370613,0.000450182476396388
0,RAB34,rab_gtpase,0.7558499035628887,0.007372105146095366,6.61762227938123e-05
0,RAB35,rab_gtpase,0.510844416757669,0.004871069039625984,4.9806545328823226e-05
0,RAB36,rab_gtpase,-0.8111162075508516,0.01779623146519726,0.000307768532375019
0,RAB38,rab_gtpase,0.7547328934613479,0.007459841053324783,6.802750142331782e-05
0,RAB39B,rab_gtpase,0.7560454923256248,0.015741726388928755,0.0003015609423366872
0,RAB3A,rab_gtpase,-0.3978526144137623,0.00453742235614334,4.9221354916251236e-05
