layer,pc1_evr,pc2_evr,top3_evr,participation_ratio,abs_cos_pc1_v,coherence_pooled,isotropic_floor,n_zero_delta,isotropic_floor_effective
0,0.726995636951193,0.04627546017731493,0.8132273170691504,1.8735004137859437,0.9528220579515588,0.3508968486509853,0.09853292781642932,0,0.09853292781642932
1,0.487369303309911,0.06947310475227407,0.6018251877986741,4.016035121683733,0.9342185101372799,0.29277156414586636,0.09853292781642932,0,0.09853292781642932
2,0.9675667869222132,0.01124372082694315,0.9822352439344652,1.0679946229958421,0.9634887949017163,0.2277345417907035,0.09853292781642932,0,0.09853292781642932
3,0.9226941742504906,0.010969364730358817,0.9407989306405292,1.1742391114910824,0.9334470754101537,0.21230708844002533,0.09853292781642932,0,0.09853292781642932
4,0.40232510511942743,0.13393680546920447,0.5939559490169989,5.334240787060403,0.5690177650237792,0.23472546036364605,0.09853292781642932,0,0.09853292781642932
5,0.29804410894693506,0.15605920173662582,0.5231114606396909,7.915731756363708,0.43023544685488047,0.2740712705232569,0.09853292781642932,0,0.09853292781642932
6,0.18753686377674972,0.1596233490410466,0.44753434886053955,11.987879592966834,0.8110369747759734,0.27073806430265135,0.09853292781642932,0,0.09853292781642932
7,0.3568433302776687,0.11363609249262532,0.5481824461000144,6.493448446650713,0.7981050190696543,0.2590907848263864,0.09853292781642932,0,0.09853292781642932
8,0.4476950990665553,0.09008804976368419,0.6037224184628247,4.570764425654899,0.8247889086426023,0.2510201380110641,0.09853292781642932,0,0.09853292781642932
9,0.9947142460350056,0.002019540024343101,0.9971907892432134,1.0106512084837833,0.992096878472219,0.16358916600915968,0.09853292781642932,0,0.09853292781642932
10,0.9904000679830306,0.0037060914529969584,0.9948182450447229,1.019464096012206,0.9852787126877863,0.1679172208556122,0.09853292781642932,0,0.09853292781642932
11,0.9885131554409863,0.004637687962946865,0.9939273001466286,1.0233511646278781,0.9823505941611246,0.16692746337788278,0.09853292781642932,0,0.09853292781642932
12,0.9872086101725798,0.0049069353972421,0.9930490380396465,1.026054048091581,0.9795339557023379,0.169547095631107,0.09853292781642932,0,0.09853292781642932
13,0.9834581676325094,0.006696702014739576,0.9912790597186327,1.0338706103774957,0.9734109110805504,0.16582608294685358,0.09853292781642932,0,0.09853292781642932
14,0.9827311803304126,0.006819938239529615,0.9907262211664756,1.035398458510143,0.9732197618338251,0.16387409911277107,0.09853292781642932,0,0.09853292781642932
15,0.9818586536940519,0.006874236976454337,0.9900249234666869,1.0372377474423167,0.973265478166356,0.161804968382134,0.09853292781642932,0,0.09853292781642932
16,0.9820198662102178,0.005676019797196528,0.9891627852386855,1.0369121754151984,0.9775759943949284,0.1619473257461724,0.09853292781642932,0,0.09853292781642932
17,0.9735057725138448,0.009617866303286739,0.9851498403705615,1.0550539148444804,0.9619407610342082,0.17706039966234685,0.09853292781642932,0,0.09853292781642932
18,0.97216036870184,0.00996975656066234,0.984296050717519,1.0579665192441183,0.9605015519658414,0.17757822744003846,0.09853292781642932,0,0.09853292781642932
19,0.9701189166153439,0.01051794531679236,0.9830698024650562,1.0624071694447952,0.9583046146872246,0.1760325205573627,0.09853292781642932,0,0.09853292781642932
20,0.9625555292666003,0.014521937045562964,0.9801314500541944,1.0790401539804977,0.9360593429289967,0.19281077876922634,0.09853292781642932,0,0.09853292781642932
21,0.9565324375451794,0.017676772156090394,0.9775973795514561,1.0925394395424024,0.9249710712736846,0.20110456705851798,0.09853292781642932,0,0.09853292781642932
22,0.9424568440393631,0.023321574307415268,0.9706363330092097,1.12506911506045,0.8749316991514755,0.2775029802611395,0.09853292781642932,0,0.09853292781642932
23,0.9171960933730536,0.03202883739628923,0.9582765314811592,1.1870333831096667,0.8289526159691453,0.3386253558505508,0.09853292781642932,0,0.09853292781642932
24,0.3973079023039087,0.20146330695529086,0.670225077679222,4.769768200309588,0.17359259418664078,0.46915423060697825,0.09853292781642932,0,0.09853292781642932
25,0.27796573608816955,0.2572763866176604,0.6244101442862517,6.3084404710026645,0.13054931471930664,0.5144362279625828,0.09853292781642932,0,0.09853292781642932
26,0.4037799588584895,0.14429265149768863,0.6411007673262638,5.021020632803549,0.9944178049322654,0.6349965011133979,0.09853292781642932,0,0.09853292781642932
27,0.5323272658591053,0.07849249784938749,0.6818386997796742,3.3291059537684466,0.9980220759762943,0.7019094026453911,0.09853292781642932,0,0.09853292781642932
28,0.7208566968666403,0.11318929778328381,0.886418455706915,1.8613524012743803,0.9617920761446123,0.7199732464476131,0.09853292781642932,0,0.09853292781642932
29,0.6837105183760268,0.1411880339860804,0.9641930517160993,1.971648698112092,0.9974443659009287,0.6424858311913186,0.09853292781642932,0,0.09853292781642932
30,0.9810827255528255,0.016464636689678958,0.9990874383940591,1.038640478209964,0.9980262240277699,0.8064350856807302,0.09853292781642932,0,0.09853292781642932
31,0.9810827255528255,0.016464636689678958,0.9990874383940591,1.038640478209964,0.9980262240277699,0.8064350856807302,0.09853292781642932,0,0.09853292781642932
