layer,layer_name,v_norm,v_norm_over_mean_delta_norm,delta_norm_median,delta_norm_cv,loo_mean,loo_median,loo_std,loo_min,loo_max,loo_frac_pos,loo_frac_gt25,coherence,coherence_isotropic_floor,split_median,split_p2.5,split_p97.5,null_signflip_loo_median,null_signflip_coherence_median,null_mismatch_loo_median,null_mismatch_coherence_median,null_mismatchpool_loo_median,null_mismatchpool_coherence_median,p_signflip_loo,p_signflip_coherence,p_mismatch_loo,p_mismatch_coherence,p_mismatchpool_loo,p_mismatchpool_coherence
0,blocks.0,0.004073499244150352,0.42481105058777435,0.007617024965523742,0.5968543959114839,0.33594090308282176,0.5368355976652678,0.576375438202114,-0.8799944860190798,0.943546335278574,0.7378640776699029,0.6699029126213593,0.3508968486509853,0.09853292781642932,0.9548055145437031,0.8728373531953548,0.9749785428193796,-0.00022972067504709119,0.0867283605749693,0.18411747453268745,0.20790371996093382,0.16197618732861216,0.18556771807907102,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312
1,blocks.1,0.01118130523108785,0.36336914257063413,0.0255637130617055,0.4480357516500969,0.2700527524178922,0.3446053430096024,0.42487368703314166,-0.7118356142576678,0.8662411590679423,0.7572815533980582,0.5631067961165048,0.29277156414586647,0.09853292781642932,0.9029836266925173,0.7959632537767941,0.9381145384943961,-0.0055466950958138785,0.09230012159035941,0.15582549403346269,0.18975822739216847,0.14247832586133166,0.17804413219695897,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312
2,blocks.2,0.039171908272226705,0.4031249843311669,0.03583151165942389,1.9428238658701011,0.13302195922243062,0.12809724827926025,0.5132591993012576,-0.9629338996179237,0.962467255551279,0.6796116504854369,0.30097087378640774,0.22773454179070346,0.09853292781642932,0.9500934724417318,-0.4667887634416921,0.9890985515752598,0.005190536240028283,0.09179304333246535,0.09340614513930527,0.1263056415420287,0.057945215359630764,0.0828718748791178,0.00849575212393803,0.0004997501249375312,0.13793103448275862,0.0014992503748125937,0.046476761619190406,0.0004997501249375312
3,blocks.3,0.04008946970600809,0.3465346304024199,0.05943571395103768,1.5794661666940353,0.1325872960356694,0.0952918254367947,0.4166746081001526,-0.9378665152802291,0.9266528301866067,0.7087378640776699,0.2524271844660194,0.21230708844002533,0.09853292781642932,0.9004703784429265,-0.128329154457284,0.9667725987192195,-0.00043668495480404785,0.0938862261184377,0.08640427962110385,0.12452066185049504,0.04488122785159067,0.0821597658222479,0.0014992503748125937,0.0004997501249375312,0.06596701649175413,0.0009995002498750624,0.018490754622688656,0.0004997501249375312
4,blocks.4,0.019231040650281472,0.26528278181262244,0.06140741930739432,0.585799306495967,0.1926741720403389,0.21677803607178622,0.24085722247925612,-0.3816082352030854,0.6728183732940004,0.7669902912621359,0.4854368932038835,0.234725460363646,0.09853292781642932,0.7711427465972264,0.44768915937639686,0.8625973163606165,-0.001068495355012949,0.09563975397650257,0.08604715962021098,0.15273854077683885,0.028867004692844027,0.11518189283979025,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312
5,blocks.5,0.026430023368411243,0.29913412931108935,0.07645224540602986,0.5124099193635248,0.23770383779984855,0.2679899318811773,0.23837361970354534,-0.37559037967496833,0.6423568811215254,0.8252427184466019,0.5533980582524272,0.27407127052325686,0.09853292781642932,0.8073545317621913,0.5961099916608485,0.8868628891736074,-0.0009183495502840193,0.09567330233843119,0.11470665241910974,0.17379026741512105,0.05528943743411742,0.13408601875342963,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312
6,blocks.6,0.030845974848616575,0.2933164785240629,0.09288323785443717,0.4243707672875968,0.23701458349110371,0.27617743931100913,0.23979726247747513,-0.42125994280910545,0.6480955830764573,0.8446601941747572,0.5436893203883495,0.2707380643026514,0.09853292781642932,0.8032526281742782,0.6575404583550971,0.8770673829140595,-0.0024828343744681593,0.0955126823254108,0.1140335738565921,0.17159167777203926,0.056034127635537875,0.13299208934926104,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312
7,blocks.7,0.03760337960574838,0.29660553003549567,0.10982974407569729,0.47486008492558063,0.22346922476672096,0.31241872332182397,0.35180835462467713,-0.6116388814747591,0.7487684553777425,0.7281553398058253,0.5825242718446602,0.2590907848263864,0.09853292781642932,0.8208490180931818,0.6221331909889376,0.8949831945887107,-0.004557897488140382,0.0933901091038523,0.11359974844947421,0.16720091166344636,0.05656387698483642,0.12826154589259525,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312
8,blocks.8,0.04588545696204409,0.29333482045400405,0.13663719357570586,0.5142638779728036,0.21636433374061848,0.32293017776523814,0.41560699023698733,-0.7158775384753286,0.7830280173891756,0.6893203883495146,0.5339805825242718,0.25102013801106404,0.09853292781642932,0.8259274763079256,0.5668061133698163,0.8979590800047398,-0.005589903122338884,0.09156322117693069,0.11365164367496383,0.1652639951416095,0.06323337608938007,0.13107112787652103,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312
9,blocks.9,0.4069896051714174,0.4060623602855193,0.22774999821089661,2.368519450335475,-0.030005120682914863,-0.0719271601222786,0.6989746179765634,-0.9928504599432019,0.9938636101435713,0.46601941747572817,0.33980582524271846,0.16358916600915965,0.09853292781642932,0.9834241210920205,-0.8461752476984696,0.9974969397528424,0.00462266851806356,0.08481756775302018,0.05477562658520594,0.07497238973701642,0.051912552011432855,0.06296325083444676,0.6636681659170415,0.03298350824587706,0.9660169915042479,0.01699150424787606,0.9455272363818091,0.025487256371814093
