gene,gc_human,gc3_human,gc_platypus,gc3_platypus
ENSG00000132196,45.696969696969695,49.09090909090909,67.51515151515152,93.81818181818181
ENSG00000144115,52.9,65.16516516516516,58.2,79.87987987987988
ENSG00000114446,41.4,38.73873873873874,48.7,55.25525525525526
ENSG00000078403,44.2,33.933933933933936,46.7,39.93993993993994
ENSG00000115760,51.0,47.147147147147145,56.0,56.45645645645646
ENSG00000164935,46.8,51.351351351351354,46.1,54.65465465465466
ENSG00000188811,42.55765199161426,34.59119496855346,48.493975903614455,51.506024096385545
ENSG00000004534,46.8,35.13513513513514,52.5,47.747747747747745
ENSG00000178031,50.3,50.750750750750754,48.1,44.44444444444444
ENSG00000112306,45.30744336569579,44.66019417475728,49.83818770226537,58.25242718446602
ENSG00000137868,61.2,75.97597597597597,52.8,64.86486486486487
ENSG00000164761,47.0,53.453453453453456,54.4,65.76576576576576
ENSG00000168237,61.9,67.56756756756756,65.6,77.17717717717717
ENSG00000115474,45.35353535353536,42.42424242424242,51.515151515151516,58.78787878787879
ENSG00000164548,47.56258234519104,32.015810276679844,49.143610013175234,37.15415019762846
ENSG00000179988,43.60587002096436,45.59748427672956,54.40251572327044,61.63522012578616
ENSG00000167992,62.8,66.36636636636636,59.6,58.55855855855856
ENSG00000187837,55.063291139240505,64.55696202531645,63.510848126232744,84.61538461538461
ENSG00000131503,49.1,34.83483483483484,62.2,67.26726726726727
ENSG00000160075,49.523809523809526,68.57142857142857,49.76190476190476,69.28571428571429
ENSG00000124145,52.94117647058823,65.359477124183,55.7504873294347,70.76023391812865
ENSG00000111906,45.962732919254655,42.2360248447205,58.44346549192364,67.84140969162996
ENSG00000223802,61.48867313915858,84.78964401294499,59.20084121976866,85.17350157728707
ENSG00000135686,63.2,90.09009009009009,63.2,89.7897897897898
ENSG00000136709,43.2,38.13813813813814,47.0,48.948948948948946
ENSG00000100629,45.8,39.03903903903904,46.7,44.14414414414414
ENSG00000128881,45.6,44.14414414414414,54.1,65.16516516516516
ENSG00000198774,41.4,40.24024024024024,39.7,34.83483483483484
ENSG00000034677,41.2,32.732732732732735,50.2,54.65465465465466
ENSG00000115216,48.2,55.25525525525526,55.8,76.87687687687688
ENSG00000204923,42.57425742574257,41.584158415841586,46.855345911949684,54.716981132075475
ENSG00000122068,43.84615384615385,35.76923076923077,46.41025641025641,42.69230769230769
ENSG00000146215,57.523809523809526,65.14285714285714,60.29962546816479,69.66292134831461
ENSG00000144644,45.0,45.34534534534534,45.8,46.546546546546544
ENSG00000100412,56.0,65.76576576576576,61.9,84.98498498498499
ENSG00000168874,69.06392694063926,77.73972602739725,66.35318704284222,76.17554858934169
ENSG00000100239,57.0,74.77477477477477,57.1,75.97597597597597
ENSG00000187796,63.7,92.7927927927928,54.7,81.98198198198199
ENSG00000164961,39.9,36.33633633633634,51.7,63.96396396396396
ENSG00000147677,44.74576271186441,49.152542372881356,49.83050847457627,64.40677966101696
ENSG00000115568,59.0,63.06306306306306,77.9,93.69369369369369
ENSG00000106624,63.5,76.57657657657657,63.2,77.77777777777777
ENSG00000108423,42.1,40.54054054054054,45.0,43.24324324324324
ENSG00000188647,45.0,43.84384384384384,45.9,50.150150150150154
ENSG00000115268,63.793103448275865,93.96551724137932,58.62068965517241,81.89655172413794
ENSG00000213563,71.60493827160494,91.35802469135803,73.72549019607843,96.47058823529412
ENSG00000255072,46.03174603174603,54.76190476190476,68.25396825396825,100.0
