gene,condition,gc,gc3,jsd_plat,jsd_hum
ENSG00000003393,add_a0.5,58.279999999999994,67.62762762762762,0.2065143504704773,0.18277018469654394
ENSG00000003393,add_a1.0,61.4,71.8918918918919,0.19032179974251448,0.20080824741222783
ENSG00000003393,add_a1.0_L24,45.78,51.41141141141141,0.31532011707302365,0.16028753849161198
ENSG00000003393,add_a2.0,79.14,85.52552552552552,0.2468563254733167,0.41835056374028784
ENSG00000003393,add_a3.0,80.04,87.38738738738739,0.14639911718111906,0.38514348270239207
ENSG00000003393,add_a4.0,80.36,87.56756756756756,0.1822090865255271,0.4113420250602332
ENSG00000003393,add_gc_removed_a1.0,38.92,39.45945945945946,0.4008478062629381,0.12220264832548086
ENSG00000003393,add_own,70.7,80.96096096096096,0.1394213541721027,0.2889761183102194
ENSG00000003393,add_own_L24,45.480000000000004,49.249249249249246,0.34111122635385044,0.23415315431974384
ENSG00000003393,random_a1.0,47.0,47.567567567567565,0.35018565424845083,0.1343893485526512
ENSG00000003393,random_a1.0_L24,52.82000000000001,56.27627627627628,0.2753676385696964,0.14618721342164673
ENSG00000003393,unsteered,43.36,44.32432432432432,0.38805201010740936,0.15231345953127062
ENSG00000004534,add_a0.5,49.5,33.873873873873876,0.2368981371416389,0.21738368049107454
ENSG00000004534,add_a0.5_L24,44.46,36.21621621621622,0.2660988683056639,0.236218363003809
ENSG00000004534,add_a1.0,54.56,56.0960960960961,0.1760448684918709,0.20381403356439862
ENSG00000004534,add_a1.0_L24,48.8,41.68168168168168,0.22953407625472583,0.21017270000984042
ENSG00000004534,add_a2.0,82.74,84.38438438438439,0.3884217471420896,0.47407485157226936
ENSG00000004534,add_a2.0_L24,52.9,37.83783783783784,0.363347965884222,0.3507330261172824
ENSG00000004534,add_a3.0,86.6,87.8078078078078,0.4189917006349669,0.5030349431273015
ENSG00000004534,add_a3.0_L24,58.419999999999995,61.5015015015015,0.2118032314819836,0.2567997923001342
ENSG00000004534,add_a4.0,88.78,90.99099099099098,0.48620546127634184,0.5820337115558033
ENSG00000004534,add_a4.0_L24,62.839999999999996,67.92792792792793,0.3170418435245775,0.368610806677349
ENSG00000004534,add_gc_removed_a1.0,42.3,29.48948948948949,0.22915179518842765,0.18186080262974677
ENSG00000004534,add_own,56.220000000000006,42.64264264264264,0.23717323859049094,0.2459746340838727
ENSG00000004534,add_own_L24,48.07659318637275,43.96396396396396,0.27917561353807585,0.2656468962946045
ENSG00000004534,random_a1.0,34.86,22.7027027027027,0.37599042220925066,0.3484528900900907
ENSG00000004534,random_a1.0_L24,53.239999999999995,37.11711711711712,0.29782826707831744,0.28503856669331357
ENSG00000004534,unsteered,44.44,32.732732732732735,0.19212929165232312,0.15447490397505828
ENSG00000005175,add_a0.5,38.760000000000005,24.684684684684687,0.23368153740962833,0.21281983193460832
ENSG00000005175,add_a1.0,42.260000000000005,42.04204204204204,0.19739941403301492,0.20176516297134203
ENSG00000005175,add_a1.0_L24,34.0,20.48048048048048,0.19329378699245378,0.15802485112462333
ENSG00000005175,add_a2.0,56.08,62.46246246246246,0.2483493713427467,0.2881601150768936
ENSG00000005175,add_a3.0,72.52000000000001,78.49849849849849,0.36322137646887886,0.42138859131618156
ENSG00000005175,add_a4.0,85.24,87.62762762762763,0.5008991638354938,0.5424286090278285
ENSG00000005175,add_gc_removed_a1.0,32.78,23.543543543543542,0.20468632038052698,0.17183411880655103
ENSG00000005175,add_own,43.58,40.78078078078078,0.19827366070662994,0.20754858111900729
ENSG00000005175,add_own_L24,32.339999999999996,17.5975975975976,0.19924744479073025,0.15363444245501423
ENSG00000005175,random_a1.0,34.160000000000004,20.84084084084084,0.21276254428637253,0.17122306190008046
ENSG00000005175,random_a1.0_L24,28.82,13.813813813813814,0.2338816407745369,0.18940690221627154
ENSG00000005175,unsteered,31.46,19.93993993993994,0.2038766231680143,0.16501116809121855
ENSG00000007908,add_a0.5,56.160000000000004,69.42942942942943,0.10046465777352338,0.1033623029394826
ENSG00000007908,add_a1.0,61.36,79.3993993993994,0.18687441382871578,0.22956214096497746
ENSG00000007908,add_a1.0_L24,49.260000000000005,62.76276276276276,0.18909489065516133,0.17979661735990798
ENSG00000007908,add_a2.0,70.06,87.14714714714714,0.22412076080972762,0.2788011082099021
ENSG00000007908,add_a3.0,78.03999999999999,86.72672672672672,0.30689657471169224,0.37817830271253833
ENSG00000007908,add_a4.0,83.08,92.13213213213213,0.35834114127858285,0.4492488741724926
ENSG00000007908,add_gc_removed_a1.0,39.38,39.21921921921922,0.2105739610396557,0.17447227708577598
ENSG00000007908,add_own,50.44,60.12012012012012,0.1161883564702922,0.1063960272129415
ENSG00000007908,add_own_L24,57.82000000000001,70.27027027027027,0.09426148201730662,0.10328789042340428
ENSG00000007908,random_a1.0,53.64,64.92492492492492,0.08715371138291017,0.08066338454818628
ENSG00000007908,random_a1.0_L24,54.8,63.84384384384384,0.08970446768782195,0.08368456321981324
ENSG00000007908,unsteered,46.68,51.711711711711715,0.11484705358733374,0.08895441588512798
ENSG00000008952,add_a0.5,40.44,43.72372372372372,0.20700568859349638,0.17830162983720732
ENSG00000008952,add_a1.0,48.879999999999995,58.25825825825825,0.1428750883941062,0.1517593946187944
ENSG00000008952,add_a1.0_L24,41.260000000000005,39.87987987987988,0.18744905901286718,0.13621848089716115
