gene,aln_len_raw,aln_len_trimmed,status,n_taxa_tree,tree_len,diameter,focal_target_dist,mean_target_dist,treeness,human_branch,platypus_branch,background_rate,mean_terminal,reason
ENSG00000003393,1922,1649,ok,24.0,1.1584262741,0.47456808919999993,0.37213092309999996,0.38385575908260866,0.19762731450291435,0.0019450507,0.2520747744,0.9044064489999999,0.03872873335416666,
ENSG00000004534,1266,1108,ok,24.0,1.3071894581,0.4793528268,0.3747347993,0.3918244100869565,0.2972226666092634,0.0019859184,0.157367565,1.1478359747000002,0.038277630066666665,
ENSG00000005175,884,660,ok,23.0,2.0029100082,0.8399658342,0.5705166548,0.6009065437681819,0.2646360658391961,0.0047476159,0.3266095758,1.6715528165000002,0.06403772971304349,
ENSG00000007908,692,610,ok,23.0,4.1902886084,1.1820683548999997,0.8457642902999998,0.9537452657136363,0.2510841513853945,0.0045250699,0.5272867331,3.6584768054000008,0.13644232822173913,
ENSG00000008952,729,398,ok,23.0,0.6081232839,0.2439738749,0.17402513949999998,0.18407677557272725,0.2521920054046462,2.2296e-06,0.0908914986,0.5172295557000001,0.019772150147826087,
ENSG00000010292,1610,1390,ok,24.0,1.9770418501,0.7559090699,0.6456837195,0.6829559369913043,0.2156735736668562,0.0024304723,0.4901762829,1.4844350949,0.06461025704166666,
ENSG00000012171,860,747,ok,23.0,1.5462550858,0.5702269547,0.48694792729999997,0.48452104372727267,0.339598761176149,0.004505114,0.1424272745,1.3993226973,0.04439777279130435,
ENSG00000012232,1057,916,ok,24.0,0.5961996393,0.34786130969999995,0.29167360949999993,0.2994691937173912,0.14702907201171803,2.0664e-06,0.2609246554,0.3352729175,0.02118920665,
ENSG00000014138,885,590,ok,24.0,2.2243557899,0.7034688627000001,0.5652648311,0.6192069541826087,0.25532986070791,0.0018035448,0.3323630136,1.8901892315000002,0.06901713899583332,
ENSG00000020426,498,308,ok,24.0,1.1905710877,0.5835408814,0.12936546299999999,0.1675149190521739,0.06374999895774808,0.0,0.0972419755,1.0933291122,0.04644467425416667,
ENSG00000020922,988,706,ok,24.0,1.3092625466,0.32293359529999993,0.2056443818,0.23287064338260868,0.21733103955270508,2.3843e-06,0.0924608525,1.2167993098,0.0426966315125,
ENSG00000021776,1600,1474,ok,24.0,1.0000823633,0.45502019850000003,0.3231960763,0.34328415783913047,0.21958839917480225,2.324e-06,0.203982826,0.7960972132999999,0.03251982825416667,
ENSG00000022567,935,758,ok,23.0,2.1420743114,0.5121841039,0.35623506550000006,0.39519217829090914,0.2785748516866323,0.0079759909,0.1412764894,1.9928218311,0.0671889686,
ENSG00000023318,656,391,ok,24.0,1.4730157631,0.5762295407,0.2468904624,0.2785567831130435,0.20720826493917102,0.0,0.0587724836,1.4142432795,0.04865811344166667,
ENSG00000023516,2095,1892,ok,23.0,2.861920332,1.0197418481,0.8470691234,0.8815373046681817,0.28815451166793693,0.0068529381,0.4538890006,2.4011783933,0.0885758728826087,
ENSG00000034677,865,826,ok,23.0,0.5710200103999999,0.2393041788,0.1640731717,0.17749368064999999,0.17928737353404667,2.1828e-06,0.100992271,0.4700255566,0.02037579706521739,
ENSG00000036257,962,755,ok,23.0,0.0791951968,0.0301942886,0.004528662699999999,0.00565414975909091,0.05745199814946353,0.0,0.001497608,0.07769758880000001,0.0032454467173913043,
ENSG00000040199,1461,1314,ok,23.0,0.848569534,0.2830207052,0.2108351131,0.21320769380909088,0.26325467348206727,0.0040658377,0.0894561679,0.7550475284,0.02718172340869565,
ENSG00000042286,865,372,ok,23.0,1.7340203172,0.5996973278,0.2677065933,0.3236409142090909,0.2074702044904045,0.0026601535,0.1316902768,1.5996698869000001,0.05975055510434783,
ENSG00000054148,195,124,ok,17.0,1.1944209019,0.6039308445,0.3302751876,0.32777641343124997,0.22615564753622805,0.008329685,0.2011876026,0.9849036143,0.054370345258823526,
ENSG00000056972,691,551,ok,23.0,2.8758029299,0.9950503891,0.7670416136999999,0.8275151513,0.20737665933205573,0.0040224676,0.5457697252,2.3260107371,0.09910558806086957,
ENSG00000061938,1581,1086,ok,24.0,1.5528585512,0.6474704789,0.3441972819,0.35119592853478265,0.12984522128186482,0.0042292582,0.2246687437,1.3239605492999997,0.056301137041666664,
ENSG00000062598,917,720,ok,24.0,0.4015936945,0.2351999834,0.1288087757,0.13799244722608697,0.046598711972555634,2.3573e-06,0.1229371779,0.27865415930000004,0.015953331066666666,
