arm,condition,predictor,role,n,wls_beta_per_sd,wls_se,wls_p,wls_quad_per_sd2,wls_quad_se,wls_quad_p,confirmatory,spearman_rho,spearman_p,spearman_rho_partial,spearman_p_partial
stage4_cds_mean_blocks27,add_a1.0,background_rate,primary,398,-0.0826,0.0281,0.0033345198075482555,0.0105,0.0061,0.08419315562376756,False,-0.153,0.00224079069725237,-0.124,0.013546031686767539
stage4_cds_mean_blocks27,add_a1.0,focal_residual,primary,398,0.0136,0.025,0.585992210695993,-0.0017,0.005,0.7281762381162487,True,0.042,0.39977776451160646,0.107,0.03285863523711408
stage4_cds_mean_blocks27,add_a1.0,human_residual,primary,398,0.0287,0.0432,0.5059905415926873,-0.0027,0.0041,0.4998527626354351,False,0.074,0.14307728702489286,0.065,0.19741479978256915
stage4_cds_mean_blocks27,add_a1.0,tree_len,legacy,398,-0.0717,0.027,0.007859322659056658,0.0096,0.0064,0.1301806392659039,False,-0.141,0.004892848640749685,-0.107,0.033351812109190665
stage4_cds_mean_blocks27,add_a1.0,diameter,legacy,398,-0.0768,0.0428,0.07277990055610001,0.0071,0.0054,0.19472500310022645,False,-0.096,0.056408027402280445,-0.046,0.3629710295627557
stage4_cds_mean_blocks27,add_a1.0,focal_target_dist,legacy,398,-0.0339,0.0229,0.1386443213248699,0.0044,0.0048,0.36308516575444183,False,-0.081,0.10851962665837184,-0.031,0.536632593449795
stage4_cds_mean_blocks27,add_a1.0,mean_target_dist,legacy,398,-0.0389,0.0226,0.08527475998098298,0.0055,0.0052,0.2870077644126561,False,-0.088,0.07997615790788017,-0.037,0.4627908843495191
stage4_cds_mean_blocks27,add_a1.0,treeness,legacy,398,-0.0438,0.0195,0.024927938973321708,-0.0097,0.0128,0.4486935677100524,True,-0.113,0.024646844287790272,-0.13,0.009452919177938678
stage4_cds_mean_blocks27,add_a1.0,dN_background_yn,dnds_primary,381,-0.0507,0.023,0.027545750397670564,0.008,0.0116,0.49402162670987526,False,-0.132,0.00993343570279901,-0.096,0.061520210498769774
stage4_cds_mean_blocks27,add_a1.0,omega_background_yn,dnds_primary,381,0.0091,0.0235,0.6995324406760173,-0.0075,0.009,0.406911887667879,False,0.002,0.9718155847426914,0.023,0.649227719126572
stage4_cds_mean_blocks27,add_a1.0,dN_hp_yn,dnds_primary,381,-0.0083,0.0234,0.7227156112301578,-0.006,0.0138,0.6643093218030283,True,-0.065,0.20705876346323066,-0.023,0.6582362048430122
stage4_cds_mean_blocks27,add_a1.0,omega_hp_yn,dnds_primary,381,-0.0441,0.0257,0.08616748918211294,0.0052,0.0117,0.6596909688444856,False,-0.086,0.09328449621429225,-0.062,0.22562646078779328
stage4_cds_mean_blocks27,add_a1.0,omega_m0,dnds_primary,382,-0.0125,0.0225,0.5796517773061851,-0.0058,0.0104,0.578063163916437,False,-0.039,0.4448581807728739,-0.001,0.9842929777703598
stage4_cds_mean_blocks27,add_a1.0,omega_plat_m2,dnds_primary,382,-0.3052,0.1886,0.10569874130860515,0.0255,0.0173,0.14031286859688008,False,-0.074,0.15066578600654057,-0.071,0.16422865123429942
stage4_cds_mean_blocks27,add_a1.0,omega_bg_m2,dnds_primary,382,-0.0066,0.0227,0.7699407660123156,-0.0065,0.0103,0.5269923411119599,False,-0.025,0.6302905869747043,0.014,0.7863550672342815
stage4_cds_mean_blocks27,add_a1.0,dS_background_yn,dnds_negative_control,381,-0.1229,0.0289,2.1379741041698348e-05,0.0194,0.0139,0.16346021664439847,False,-0.27,8.519748775022212e-08,-0.252,6.568629145438095e-07
stage4_cds_mean_blocks27,add_a1.0,dS_hp_yn,dnds_negative_control,381,0.0314,0.027,0.24499760805247195,0.0135,0.0112,0.23009928170462945,True,0.044,0.38953656313443485,0.073,0.15534063192072983
stage4_cds_mean_blocks27,add_a1.0,tree_dS_m0,dnds_negative_control,382,-0.0867,0.0287,0.002510348842768594,0.0058,0.0056,0.30208161319182414,False,-0.188,0.0002112207777189379,-0.171,0.0008122683114142765
stage4_cds_mean_blocks27,add_a1.0,perc_id_hp,frame,398,0.0484,0.0193,0.01215158567153122,0.0106,0.0176,0.5449066967756351,False,0.128,0.010688668940435506,0.087,0.08186826408446303
stage4_cds_mean_blocks27,add_own,background_rate,primary,398,-0.0887,0.0312,0.004439393684410373,0.0084,0.0068,0.2201337886434832,False,-0.118,0.01865286935347393,-0.067,0.1851321994050516
