mode,layer,predictor,axis,hypothesis,outcome,n,b_linear,p_linear,b_quad,p_quad,mid_minus_ext,p_mid_ext,p_min,p_holm
cds_mean,27,dN_hp_yn,PC1 amino-acid divergence,H1a_orientation,loo_cos,382,0.0087,0.29290060371400095,-0.0122,0.03432740417121444,0.0162,0.31167072618512676,0.03432740417121444,0.06865480834242887
cds_mean,27,dN_hp_yn,PC1 amino-acid divergence,H1a_orientation,loo_cos_pc1,382,-0.0158,0.09247064885357423,-0.0107,0.1029998299272224,0.0386,0.0351312059273154,0.0351312059273154,0.06865480834242887
cds_mean,27,dN_hp_yn,PC1 amino-acid divergence,H1b_magnitude,delta_norm,382,0.5144,2.385704931414594e-06,-0.027,0.7192961415997896,-0.4189,0.04671444845898364,2.385704931414594e-06,7.157114794243782e-06
cds_mean,27,dS_hp_yn,PC2 synonymous divergence (NEGATIVE CONTROL),H1a_orientation,loo_cos,382,-0.0278,0.006637707209001118,0.0093,0.047718133416875926,0.0162,0.31167072618512676,0.006637707209001118,0.03318853604500559
cds_mean,27,dS_hp_yn,PC2 synonymous divergence (NEGATIVE CONTROL),H1a_orientation,loo_cos_pc1,382,-0.051,1.2668928899252007e-05,0.014,0.008776613068230315,0.0386,0.0351312059273154,1.2668928899252007e-05,7.601357339551204e-05
cds_mean,27,dS_hp_yn,PC2 synonymous divergence (NEGATIVE CONTROL),H1b_magnitude,delta_norm,382,0.6093,6.021023897225405e-06,-0.0691,0.259351125552672,-0.4189,0.04671444845898364,6.021023897225405e-06,1.204204779445081e-05
cds_mean,27,focal_residual,PC3 platypus-lineage acceleration,H1a_orientation,loo_cos,399,0.025,0.007120387357313325,-0.0029,0.08431726124191949,0.0199,0.19932057123977368,0.007120387357313325,0.03318853604500559
cds_mean,27,focal_residual,PC3 platypus-lineage acceleration,H1a_orientation,loo_cos_pc1,399,-0.0155,0.14392419929258704,0.0012,0.5484867806942322,0.0433,0.014921233526154811,0.014921233526154811,0.04476370057846443
cds_mean,27,focal_residual,PC3 platypus-lineage acceleration,H1b_magnitude,delta_norm,399,0.9231,2.516410292288997e-14,-0.0816,0.0001280922559097413,-0.4605,0.02583396705272949,2.516410292288997e-14,1.0065641169155988e-13
cds_mean,27,treeness,PC4 rate heterogeneity,H1a_orientation,loo_cos,399,0.0138,0.0323622523574398,-0.0254,2.7323267399064524e-10,0.0199,0.19932057123977368,2.7323267399064524e-10,2.185861391925162e-09
cds_mean,27,treeness,PC4 rate heterogeneity,H1a_orientation,loo_cos_pc1,399,0.0177,0.01753396357807804,-0.0247,9.5163320897695e-08,0.0433,0.014921233526154811,9.5163320897695e-08,6.66143246283865e-07
cds_mean,27,treeness,PC4 rate heterogeneity,H1b_magnitude,delta_norm,399,-0.2507,0.0061144002937233025,-0.0141,0.7997149482217051,-0.4605,0.02583396705272949,0.0061144002937233025,0.0061144002937233025
