layer,gene,family,loo_cos,delta_norm,influence
0,ENSG00000132196,block2781,0.9774854195329571,0.03310743009259352,3.4552686523081633e-06
0,ENSG00000164935,block4775,-0.07833314096313504,0.004112805345255984,1.190300107811737e-06
0,ENSG00000137868,block3214,-0.8167043163096738,0.011647742753196546,3.198701405637827e-06
0,ENSG00000179988,block5804,0.923363570579261,0.015159131450553873,2.3982739292272015e-06
0,ENSG00000124145,block2366,0.33396489524496403,0.007933733014682512,3.9595927773250494e-06
0,ENSG00000100629,block1037,0.6798888121340014,0.0037847613822559302,5.453954319278864e-07
0,ENSG00000204923,block6580,0.5204193636418488,0.007881636392791498,3.207092591273053e-06
0,ENSG00000168874,block5150,-0.36434682377748795,0.010663600495246001,6.982440339808882e-06
0,ENSG00000115568,block1942,0.9579899847108876,0.025605471339055545,3.81841092156332e-06
0,ENSG00000213563,block6650,0.4306155315910271,0.009019990472217165,4.692396563865664e-06
0,ENSG00000134247,block2906,0.9574857717367582,0.013610305315419733,1.091495289928801e-06
0,ENSG00000172244,block5376,0.7212616755535345,0.007328102681549643,1.8242319255179495e-06
0,ENSG00000168038,block5083,-0.6698900334680625,0.004606358876208541,8.281618285588266e-07
0,ENSG00000072201,block3337,0.9699668889257094,0.0299541275008889,3.7586024516089722e-06
0,ENSG00000138075,block3233,0.9608317496030663,0.018845801029625707,1.9313327500602995e-06
0,ENSG00000181544,block5869,0.818039209004942,0.009684458058319913,2.196772904028421e-06
0,ENSG00000007908,block77,0.8089008182746489,0.0068789457518397155,1.1581653908132594e-06
0,ENSG00000105321,block1340,0.6757040898993122,0.008347895494334635,2.681305938945222e-06
0,ENSG00000173627,block5470,0.8986826041790903,0.012263436957841857,2.0483974190188547e-06
0,ENSG00000171357,block4067,0.8667152162611473,0.01694103981891169,5.055834430001127e-06
0,ENSG00000163462,block4023,0.8874159655922331,0.014360722141381045,3.102777573316118e-06
0,ENSG00000135409,block2998,0.933219622719819,0.02036155275554583,3.789707168078138e-06
0,ENSG00000117362,block3281,0.8712792564438956,0.021231520311600936,7.687833679437261e-06
0,ENSG00000161618,block4431,0.4611955202570986,0.005532342602840542,1.7061256564199212e-06
0,ENSG00000168016,block5081,0.9787539077851051,0.02407697771183752,1.7255523653281202e-06
0,ENSG00000170955,block5304,0.770404566544489,0.017655775203645408,8.97148377509982e-06
0,ENSG00000133048,block2845,0.28461074794499813,0.004398355629073902,1.2587743882797042e-06
0,ENSG00000178057,block5712,-0.32588725183354605,0.00841493650286807,4.481204611495038e-06
0,ENSG00000186871,block6155,0.9610436765771825,0.018539443636020635,1.8591396204747923e-06
0,ENSG00000198894,block6503,0.8394662744944009,0.008262879586170255,1.427493868333407e-06
0,ENSG00000135541,block3011,0.7031159000124712,0.004153916194647278,6.177314558764024e-07
0,ENSG00000169679,block5214,0.8811920176313006,0.008707430776501998,1.1998088167430865e-06
0,ENSG00000105852,block1387,0.938164338444131,0.027694340291093748,6.508277336725321e-06
0,ENSG00000113621,block1827,0.8067881938251175,0.009273255206146242,2.125488548943011e-06
0,ENSG00000132780,block2832,0.8843880865867461,0.010789860175129146,1.7957998948991971e-06
0,ENSG00000107771,block1490,0.7419444674773461,0.006264647636362786,1.2490908529727562e-06
0,ENSG00000120915,block2238,0.8534770290818794,0.01046413120875557,2.105487724834987e-06
0,ENSG00000056972,block343,0.9248818590291747,0.012693671773013506,1.6495928951698602e-06
0,ENSG00000148384,block3827,-0.8826111180144084,0.019022973056846398,5.662374379267199e-06
0,ENSG00000136933,block3135,0.48970748285496934,0.007750068231017972,3.232845372624915e-06
0,ENSG00000177548,block5685,0.42189551047986856,0.005654447859367658,1.8608347861492902e-06
0,ENSG00000187550,block6733,0.23762887902939686,0.00526800694760242,1.8539709784048952e-06
